main_category,subcategory,leaf_category,url,scrape_status,last_scraped,items_found,pages_scraped,errors,notes
TVs & Appliances,Smart & UltraHD,Thomson,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DThomson,verified,,,,,auto-matched 'Thomson' score=0.75
TVs & Appliances,Smart & UltraHD,Samsung,https://www.flipkart.com/televisions/samsung~brand/pr?sid=ckf%2Cczl,url_found,,,,,URL found by discover_categories on 2026-06-07
TVs & Appliances,Smart & UltraHD,iFFAKCON by TCL,,,,,,,
TVs & Appliances,Smart & UltraHD,LG,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p%5B%5D=facets.serviceability%5B%5D%3Dtrue&p%5B%5D=facets.brand%255B%255D%3DLG,verified,,,,,auto-matched 'LG' score=0.75
TVs & Appliances,Smart & UltraHD,realme,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DRealme,url_found,,,,,auto-matched 'Realme' score=0.75
TVs & Appliances,Smart & UltraHD,Motorola,https://www.flipkart.com/televisions/pr?sid=ckf%2Cczl&p%5B%5D=facets.availability%255B%255D%3DExclude%2BOut%2Bof%2BStock&p%5B%5D=facets.brand%255B%255D%3DMotorola,url_found,,,,,auto-matched 'Motorola' score=0.75
TVs & Appliances,Washing Machine,Fully Automatic Front Load,https://www.flipkart.com/home-kitchen/home-appliances/washing-machines/fully-automatic-front-load~function/pr?sid=j9e%2Cabm%2C8qx&o,,,,,,
TVs & Appliances,Washing Machine,Semi Automatic Top Load,"https://www.flipkart.com/home-kitchen/home-appliances/washing-machines/semi-automatic-top-load~function/pr?sid=j9e,abm,8qx",url_found,,,,,Matched 'Semi Automatic Top Load' score=0.88
TVs & Appliances,Washing Machine,Fully Automatic Top Load,"https://www.flipkart.com/home-kitchen/home-appliances/washing-machines/fully-automatic-top-load~function/pr?sid=j9e,abm,8qx",verified,,,,,Matched 'Fully Automatic Top Load' score=0.88
TVs & Appliances,Air Conditioners,Inver Ac,,,,,,,
TVs & Appliances,Air Conditioners,Split Acs,https://www.flipkart.com/home-kitchen/home-appliances/air-conditioners/split~type/pr?sid=j9e%2Cabm%2Cc54,verified,,,,,auto-matched 'Split ACs' score=1.00
TVs & Appliances,Air Conditioners,Windows Acs,,,,,,,
TVs & Appliances,Refrigerators,Single Door,"https://www.flipkart.com/home-kitchen/home-appliances/refrigerators/single-door~type/pr?sid=j9e,abm,hzg",verified,,,,,Matched 'Single Door' score=0.88
TVs & Appliances,Refrigerators,Double Door,"https://www.flipkart.com/home-kitchen/home-appliances/refrigerators/double-door~type/pr?sid=j9e,abm,hzg",verified,,,,,Matched 'Double Door' score=0.88
TVs & Appliances,Refrigerators,Triple door,"https://www.flipkart.com/home-kitchen/home-appliances/refrigerators/triple-door~type/pr?sid=j9e,abm,hzg",verified,,,,,Matched 'Triple door' score=0.88
TVs & Appliances,Refrigerators,Side by Side,https://www.flipkart.com/home-kitchen/home-appliances/refrigerators/pr?p%5B%5D=facets.type%255B%255D%3DSide%2Bby%2BSide&sid=j9e%2Fabm%2Fhzg,url_found,,,,,auto-matched 'Side by Side' score=0.77
TVs & Appliances,Refrigerators,Convertible,https://www.flipkart.com/search?p%5B%5D%5B%5D=facets.features%255B%255D%3DConvertible&sid=j9e%2Fabm%2Fhzg&p%5B%5D=facets.features%255B%255D%3DConvertible,verified,,,,,auto-matched 'Convertible' score=0.75
TVs & Appliances,Kitchen Appliances,Microwave Ovens,https://www.flipkart.com/microwave-ovens/pr,failed,2026-06-10T15:42:07,,,Ignoring non-200 response,URL found by discover_categories on 2026-06-07
